item_id,name,type,subtype,component_tag,value,questtoken,current_tags,proposed_tags,needs_review,provenance
20078,cattail-down cloak,back,wearable,,110,,,tailoring,,output of tailoring recipe cattail-down-cloak
30001,small red potion,potion,drinkable,,2,,,alchemy,,potion → alchemy
30012,conviction draught,potion,drinkable,,8,,,alchemy,,potion → alchemy
30013,fungal ration,food,edible,,2,,,cooking,,food → cooking
30020,cloth bandage,object,usable,,5,,,tailoring,,output of tailoring recipe cloth-bandage
30021,trail rations,food,edible,,3,,,cooking,,output of cooking recipe trail-rations
30022,grilled meat,food,edible,,4,,,cooking,,output of cooking recipe grilled-meat
30023,hearty stew,food,edible,,5,,,cooking,,output of cooking recipe hearty-stew
30024,herbal tea,potion,drinkable,,4,,,cooking,,output of cooking recipe herbal-tea
30025,spiced wine,food,edible,,6,,,cooking,,output of cooking recipe spiced-wine
30026,energy bread,food,edible,,8,,,cooking,,output of cooking recipe energy-bread
30027,antidote broth,food,edible,,6,,,cooking,,output of cooking recipe antidote-broth
30028,minor antidote,potion,drinkable,,6,,,alchemy,,output of alchemy recipe minor-antidote
30029,clarity tonic,potion,drinkable,,10,,,alchemy,,output of alchemy recipe clarity-tonic
30030,fire resistance draught,potion,drinkable,,12,,,alchemy,,output of alchemy recipe fire-resistance-draught
30032,berserker elixir,potion,drinkable,,20,,,alchemy,,potion → alchemy
30033,component pouch,componentbag,wearable,,25,,,tailoring,,bag → tailoring (review)
30034,artisan's satchel,componentbag,wearable,,60,,,tailoring,,output of tailoring recipe artisans-satchel
30035,master's component case,componentbag,wearable,,150,,,tailoring,,output of tailoring recipe masters-component-case
30036,healing salve,potion,drinkable,,5,,,alchemy,,output of alchemy recipe healing-salve
30037,stamina tonic,potion,drinkable,,5,,,alchemy,,output of alchemy recipe stamina-tonic
30038,conviction draught,potion,drinkable,,8,,,alchemy,,output of alchemy recipe conviction-draught
30039,warrior's brew,potion,drinkable,,15,,,alchemy,,output of alchemy recipe warriors-brew
30040,preacher's tincture,potion,drinkable,,15,,,alchemy,,output of alchemy recipe preachers-tincture
30041,windrunner draught,potion,drinkable,,15,,,alchemy,,output of alchemy recipe windrunner-draught
30042,elixir of renewal,potion,drinkable,,30,,,alchemy,,output of alchemy recipe elixir-of-renewal
30043,ironhide brew,potion,drinkable,,18,,,alchemy,,output of alchemy recipe ironhide-brew
30044,mindshield elixir,potion,drinkable,,20,,,alchemy,,output of alchemy recipe mindshield-elixir
30045,veilguard tonic,potion,drinkable,,20,,,alchemy,,output of alchemy recipe veilguard-tonic
30046,stone stomach,potion,drinkable,,15,,,alchemy,,output of alchemy recipe stone-stomach
30047,cat's eye draught,potion,drinkable,,25,,,alchemy,,output of alchemy recipe cats-eye-draught
30048,swiftfoot essence,potion,drinkable,,28,,,alchemy,,output of alchemy recipe swiftfoot-essence
30049,berserker elixir,potion,drinkable,,30,,,alchemy,,output of alchemy recipe berserker-elixir
30050,silver tongue oil,potion,drinkable,,30,,,alchemy,,output of alchemy recipe silver-tongue-oil
30051,battle trance,potion,drinkable,,35,,,alchemy,,output of alchemy recipe battle-trance
30052,purging draught,potion,drinkable,,50,,,alchemy,,output of alchemy recipe purging-draught
30053,essence of growth,potion,drinkable,,60,,,alchemy,,output of alchemy recipe essence-of-growth
30054,savant's infusion,potion,drinkable,,60,,,alchemy,,output of alchemy recipe savants-infusion
30055,mutagen brew,potion,drinkable,,80,,,alchemy,,output of alchemy recipe mutagen-brew
30056,chrysalis catalyst,potion,drinkable,,100,,,alchemy,,output of alchemy recipe chrysalis-catalyst
30057,flashbang,object,throwable,,35,,,alchemy,,output of alchemy recipe flashbang
30058,firebomb,object,throwable,,20,,,alchemy,,output of alchemy recipe firebomb
30059,toxic flask,object,throwable,,18,,,alchemy,,output of alchemy recipe toxic-flask
30060,lake-tonic of steady hand,potion,drinkable,,18,,,alchemy,,output of alchemy recipe lake-tonic-of-steady-hand
30061,stillwater lake chowder,food,edible,,12,,,cooking,,output of cooking recipe stillwater-lake-chowder
40001,iron ingot,object,mundane,iron-ingot,2,,,"blacksmithing,jewelcrafting,tailoring",,ingredient of blacksmithing recipe chain-links; ingredient of blacksmithing recipe chainmail-vest; ingredient of blacksmithing recipe iron-buckler; ingredient of blacksmithing recipe iron-dagger; ingredient of blacksmithing recipe iron-short-sword; ingredient of blacksmithing recipe lake-iron-hook-spear; ingredient of blacksmithing recipe master-lockpicks; ingredient of blacksmithing recipe reinforced-wooden-shield; ingredient of blacksmithing recipe steel-ingot; ingredient of blacksmithing recipe steel-lockpicks; ingredient of jewelcrafting recipe precision-disarm-kit; ingredient of jewelcrafting recipe reinforced-disarm-kit; ingredient of tailoring recipe reinforced-bandolier
40002,leather strip,object,mundane,leather-strip,8,,,"blacksmithing,jewelcrafting,tailoring",,ingredient of blacksmithing recipe iron-dagger; ingredient of blacksmithing recipe iron-short-sword; ingredient of blacksmithing recipe lake-iron-hook-spear; ingredient of blacksmithing recipe steel-longsword; ingredient of jewelcrafting recipe reinforced-disarm-kit; ingredient of tailoring recipe artisans-satchel; ingredient of tailoring recipe hunter-eel-scale-vest; ingredient of tailoring recipe leather-backpack; ingredient of tailoring recipe leather-bandolier; ingredient of tailoring recipe leather-leggings; ingredient of tailoring recipe leather-satchel; ingredient of tailoring recipe leather-vest; ingredient of tailoring recipe masters-component-case; ingredient of tailoring recipe reinforced-bandolier; ingredient of tailoring recipe reinforced-travel-pack
40003,wooden plank,object,mundane,wooden-plank,1,,,blacksmithing,,ingredient of blacksmithing recipe iron-buckler; ingredient of blacksmithing recipe reinforced-wooden-shield; ingredient of blacksmithing recipe steel-buckler
40004,healer's root,object,mundane,healers-root,5,,,"alchemy,cooking,enchanting",,ingredient of alchemy recipe conviction-draught; ingredient of alchemy recipe elixir-of-renewal; ingredient of alchemy recipe essence-of-growth; ingredient of alchemy recipe fire-resistance-draught; ingredient of alchemy recipe healing-salve; ingredient of alchemy recipe ironhide-brew; ingredient of alchemy recipe preachers-tincture; ingredient of alchemy recipe warriors-brew; ingredient of cooking recipe antidote-broth; ingredient of cooking recipe herbal-tea; ingredient of enchanting recipe chitin-brace; ingredient of enchanting recipe honed-edge; ingredient of enchanting recipe rootbind
40005,bitter thistle,object,mundane,bitter-thistle,5,,,alchemy,,ingredient of alchemy recipe clarity-tonic; ingredient of alchemy recipe conviction-draught; ingredient of alchemy recipe elixir-of-renewal; ingredient of alchemy recipe minor-antidote; ingredient of alchemy recipe stamina-tonic; ingredient of alchemy recipe stone-stomach; ingredient of alchemy recipe veilguard-tonic; ingredient of alchemy recipe warriors-brew; ingredient of alchemy recipe windrunner-draught
40006,glass vial,object,mundane,bottle,3,,,,YES,
40007,cloth strip,object,mundane,cloth-strip,5,,,tailoring,,ingredient of tailoring recipe artisans-satchel; ingredient of tailoring recipe cattail-down-cloak; ingredient of tailoring recipe cloth-bandage; ingredient of tailoring recipe cloth-pants; ingredient of tailoring recipe linen-tunic; ingredient of tailoring recipe masters-component-case; ingredient of tailoring recipe reinforced-travel-pack; ingredient of tailoring recipe wool-cloak
40008,spore sac,object,holdable,,12,,,,YES,
40009,dustwalk herb,object,mundane,dustwalk-herb,5,,,alchemy,,ingredient of alchemy recipe cats-eye-draught; ingredient of alchemy recipe elixir-of-renewal; ingredient of alchemy recipe fire-resistance-draught; ingredient of alchemy recipe minor-antidote; ingredient of alchemy recipe savants-infusion; ingredient of alchemy recipe silver-tongue-oil; ingredient of alchemy recipe swiftfoot-essence; ingredient of alchemy recipe warriors-brew; ingredient of alchemy recipe windrunner-draught
40010,Chrysalis Core,object,,chrysalis-core,500,,,alchemy,,ingredient of alchemy recipe battle-trance; ingredient of alchemy recipe berserker-elixir; ingredient of alchemy recipe chrysalis-catalyst; ingredient of alchemy recipe clarity-tonic; ingredient of alchemy recipe elixir-of-renewal; ingredient of alchemy recipe essence-of-growth; ingredient of alchemy recipe flashbang; ingredient of alchemy recipe mindshield-elixir; ingredient of alchemy recipe mutagen-brew; ingredient of alchemy recipe preachers-tincture; ingredient of alchemy recipe purging-draught; ingredient of alchemy recipe savants-infusion; ingredient of alchemy recipe silver-tongue-oil; ingredient of alchemy recipe veilguard-tonic; ingredient of alchemy recipe windrunner-draught
40011,Hive Fragment,object,,hive-fragment,25,,,alchemy,,ingredient of alchemy recipe berserker-elixir; ingredient of alchemy recipe chrysalis-catalyst; ingredient of alchemy recipe mutagen-brew
40012,thread spool,object,mundane,thread-spool,1,,,tailoring,,ingredient of tailoring recipe artisans-satchel; ingredient of tailoring recipe cattail-down-cloak; ingredient of tailoring recipe cloth-bandage; ingredient of tailoring recipe cloth-pants; ingredient of tailoring recipe hunter-eel-scale-vest; ingredient of tailoring recipe leather-backpack; ingredient of tailoring recipe leather-bandolier; ingredient of tailoring recipe leather-leggings; ingredient of tailoring recipe leather-satchel; ingredient of tailoring recipe leather-vest; ingredient of tailoring recipe linen-tunic; ingredient of tailoring recipe masters-component-case; ingredient of tailoring recipe reinforced-bandolier; ingredient of tailoring recipe reinforced-travel-pack; ingredient of tailoring recipe wool-cloak
40013,bone needle,object,mundane,bone-needle,2,,,tailoring,,ingredient of tailoring recipe artisans-satchel; ingredient of tailoring recipe hunter-eel-scale-vest; ingredient of tailoring recipe leather-backpack; ingredient of tailoring recipe leather-bandolier; ingredient of tailoring recipe leather-leggings; ingredient of tailoring recipe leather-satchel; ingredient of tailoring recipe leather-vest; ingredient of tailoring recipe masters-component-case; ingredient of tailoring recipe reinforced-bandolier; ingredient of tailoring recipe reinforced-travel-pack
40014,raw meat,object,mundane,raw-meat,1,,,cooking,,ingredient of cooking recipe grilled-meat; ingredient of cooking recipe hearty-stew; ingredient of cooking recipe trail-rations
40015,wild vegetables,object,mundane,wild-vegetables,1,,,cooking,,ingredient of cooking recipe antidote-broth; ingredient of cooking recipe energy-bread; ingredient of cooking recipe hearty-stew; ingredient of cooking recipe spiced-wine; ingredient of cooking recipe stillwater-lake-chowder
40016,water flask,object,mundane,water-flask,1,,,cooking,,ingredient of cooking recipe antidote-broth; ingredient of cooking recipe energy-bread; ingredient of cooking recipe hearty-stew; ingredient of cooking recipe herbal-tea; ingredient of cooking recipe spiced-wine; ingredient of cooking recipe stillwater-lake-chowder
40017,salt pouch,object,mundane,salt-pouch,1,,,"alchemy,cooking",,ingredient of alchemy recipe flashbang; ingredient of cooking recipe energy-bread; ingredient of cooking recipe grilled-meat; ingredient of cooking recipe spiced-wine; ingredient of cooking recipe trail-rations
40018,steel ingot,object,mundane,steel-ingot,8,,,"blacksmithing,jewelcrafting",,ingredient of blacksmithing recipe masterwork-plate-helm; ingredient of blacksmithing recipe steel-buckler; output of blacksmithing recipe steel-ingot; ingredient of blacksmithing recipe steel-longsword; ingredient of jewelcrafting recipe reinforced-disarm-kit
40019,chain link,object,mundane,chain-link,2,,,"blacksmithing,jewelcrafting",,output of blacksmithing recipe chain-links; ingredient of blacksmithing recipe chainmail-vest; ingredient of jewelcrafting recipe stillwater-pearl-pendant
40020,coal dust,object,mundane,coal-dust,5,,,"alchemy,blacksmithing",,ingredient of alchemy recipe firebomb; ingredient of blacksmithing recipe masterwork-plate-helm; ingredient of blacksmithing recipe steel-ingot
40021,copper wire,object,mundane,copper-wire,2,,,jewelcrafting,,ingredient of jewelcrafting recipe chrysalis-setting; ingredient of jewelcrafting recipe copper-ring; ingredient of jewelcrafting recipe polished-stone-amulet; ingredient of jewelcrafting recipe sealed-phial; ingredient of jewelcrafting recipe simple-pendant
40022,silver wire,object,mundane,silver-wire,8,,,"blacksmithing,jewelcrafting",,ingredient of blacksmithing recipe master-lockpicks; ingredient of jewelcrafting recipe engraved-bracelet; ingredient of jewelcrafting recipe gem-set-necklace; ingredient of jewelcrafting recipe precision-disarm-kit; ingredient of jewelcrafting recipe silver-ring; ingredient of jewelcrafting recipe stillwater-pearl-pendant
40023,gold wire,object,mundane,gold-wire,80,,,jewelcrafting,,ingredient of jewelcrafting recipe gold-signet-ring; ingredient of jewelcrafting recipe masterwork-gem-pendant
40024,polished stone,object,mundane,polished-stone,8,,,jewelcrafting,,ingredient of jewelcrafting recipe polished-stone-amulet; ingredient of jewelcrafting recipe simple-pendant
40025,raw gem,object,mundane,raw-gem,25,,,jewelcrafting,,ingredient of jewelcrafting recipe crystalline-decanter; ingredient of jewelcrafting recipe gem-set-necklace; ingredient of jewelcrafting recipe masterwork-gem-pendant
40026,gem dust,object,mundane,gem-dust,8,,,"blacksmithing,jewelcrafting",,ingredient of blacksmithing recipe master-lockpicks; ingredient of jewelcrafting recipe copper-ring; ingredient of jewelcrafting recipe engraved-bracelet; ingredient of jewelcrafting recipe gold-signet-ring; ingredient of jewelcrafting recipe precision-disarm-kit; ingredient of jewelcrafting recipe silver-ring
40027,chrysalis shard,object,mundane,chrysalis-shard,80,,,jewelcrafting,,ingredient of jewelcrafting recipe chrysalis-setting; ingredient of jewelcrafting recipe crystalline-decanter; ingredient of jewelcrafting recipe sealed-phial
40028,binding paste,object,mundane,binding-paste,3,,,"blacksmithing,enchanting,jewelcrafting",,ingredient of blacksmithing recipe steel-lockpicks; ingredient of enchanting recipe carapace-ward; ingredient of enchanting recipe chitin-brace; ingredient of enchanting recipe chrysalis-bond; ingredient of enchanting recipe chrysalis-sight; ingredient of enchanting recipe chrysalis-stride; ingredient of enchanting recipe drowned-veil; ingredient of enchanting recipe honed-edge; ingredient of enchanting recipe hungering-touch; ingredient of enchanting recipe ironblood; ingredient of enchanting recipe mindweave; ingredient of enchanting recipe predators-instinct; ingredient of enchanting recipe rootbind; ingredient of enchanting recipe rootwalker; ingredient of enchanting recipe serpents-edge; ingredient of enchanting recipe shadowweave; ingredient of enchanting recipe spore-mantle; ingredient of enchanting recipe sporeweave; ingredient of enchanting recipe thornguard; ingredient of enchanting recipe venomgrip; ingredient of jewelcrafting recipe precision-disarm-kit; ingredient of jewelcrafting recipe reinforced-disarm-kit
40029,mutation catalyst,object,mundane,mutation-catalyst,100,,,enchanting,,ingredient of enchanting recipe carapace-ward; ingredient of enchanting recipe chrysalis-bond; ingredient of enchanting recipe chrysalis-sight; ingredient of enchanting recipe chrysalis-stride; ingredient of enchanting recipe hungering-touch; ingredient of enchanting recipe ironblood; ingredient of enchanting recipe mindweave; ingredient of enchanting recipe predators-instinct; ingredient of enchanting recipe serpents-edge; ingredient of enchanting recipe shadowweave; ingredient of enchanting recipe spore-mantle; ingredient of enchanting recipe sporeweave; ingredient of enchanting recipe thornguard; ingredient of enchanting recipe venomgrip
40030,chrysalis setting,object,mundane,chrysalis-setting,12,,,"enchanting,jewelcrafting",,ingredient of enchanting recipe carapace-ward; ingredient of enchanting recipe chrysalis-bond; ingredient of enchanting recipe chrysalis-sight; ingredient of enchanting recipe chrysalis-stride; ingredient of enchanting recipe drowned-veil; ingredient of enchanting recipe hungering-touch; ingredient of enchanting recipe ironblood; ingredient of enchanting recipe mindweave; ingredient of enchanting recipe predators-instinct; ingredient of enchanting recipe rootwalker; ingredient of enchanting recipe serpents-edge; ingredient of enchanting recipe shadowweave; ingredient of enchanting recipe spore-mantle; ingredient of enchanting recipe sporeweave; ingredient of enchanting recipe thornguard; ingredient of enchanting recipe venomgrip; output of jewelcrafting recipe chrysalis-setting
40031,spirit fetish,object,mundane,steppe-spirit,50,,,,YES,
40032,windstone sample,object,mundane,,0,,,,,
40033,carved wolf totem,object,mundane,,0,,,,,
40034,strongbox key,key,mundane,,0,,,,,
40035,tally stick,object,mundane,,0,14-explore,,,,
40036,bribe ledger,object,mundane,,0,,,,,
40037,guard captain's commendation,object,mundane,,0,,,,,
40038,oil lantern,object,mundane,,1,,,,YES,
40039,freight crate,object,holdable,,0,,,,,
40040,forest herbs,object,holdable,,0,,,,,
40041,creased letter,object,holdable,,0,,,,,
40042,herbalism recipe page,object,usable,,0,,,,,
40043,clay flask,object,mundane,bottle,1,,,,YES,
40044,sealed phial,object,mundane,bottle,10,,,jewelcrafting,,output of jewelcrafting recipe sealed-phial
40045,crystalline decanter,object,mundane,bottle,30,,,"alchemy,jewelcrafting",,ingredient of alchemy recipe battle-trance; ingredient of alchemy recipe berserker-elixir; ingredient of alchemy recipe cats-eye-draught; ingredient of alchemy recipe chrysalis-catalyst; ingredient of alchemy recipe clarity-tonic; ingredient of alchemy recipe conviction-draught; ingredient of alchemy recipe elixir-of-renewal; ingredient of alchemy recipe essence-of-growth; ingredient of alchemy recipe fire-resistance-draught; ingredient of alchemy recipe firebomb; ingredient of alchemy recipe flashbang; ingredient of alchemy recipe healing-salve; ingredient of alchemy recipe ironhide-brew; ingredient of alchemy recipe lake-tonic-of-steady-hand; ingredient of alchemy recipe mindshield-elixir; ingredient of alchemy recipe minor-antidote; ingredient of alchemy recipe mutagen-brew; ingredient of alchemy recipe preachers-tincture; ingredient of alchemy recipe purging-draught; ingredient of alchemy recipe savants-infusion; ingredient of alchemy recipe silver-tongue-oil; ingredient of alchemy recipe stamina-tonic; ingredient of alchemy recipe stone-stomach; ingredient of alchemy recipe swiftfoot-essence; ingredient of alchemy recipe toxic-flask; ingredient of alchemy recipe veilguard-tonic; ingredient of alchemy recipe warriors-brew; ingredient of alchemy recipe windrunner-draught; ingredient of jewelcrafting recipe crystalline-decanter; output of jewelcrafting recipe crystalline-decanter; ingredient of jewelcrafting recipe sealed-phial
40046,moonpetal,object,mundane,moonpetal,30,,,alchemy,,ingredient of alchemy recipe battle-trance; ingredient of alchemy recipe cats-eye-draught; ingredient of alchemy recipe chrysalis-catalyst; ingredient of alchemy recipe essence-of-growth; ingredient of alchemy recipe mindshield-elixir; ingredient of alchemy recipe savants-infusion; ingredient of alchemy recipe silver-tongue-oil; ingredient of alchemy recipe swiftfoot-essence
